Commodity,Year,Attribute,Value,Notes
"Fluid milk: Total availability, million pounds",1909,"U.S. population, July 1-Millions",90.49,
"Fluid milk: Total availability, million pounds",1910,"U.S. population, July 1-Millions",92.407,
"Fluid milk: Total availability, million pounds",1911,"U.S. population, July 1-Millions",93.863,
"Fluid milk: Total availability, million pounds",1912,"U.S. population, July 1-Millions",95.335,
"Fluid milk: Total availability, million pounds",1913,"U.S. population, July 1-Millions",97.225,
"Fluid milk: Total availability, million pounds",1914,"U.S. population, July 1-Millions",99.111,
"Fluid milk: Total availability, million pounds",1915,"U.S. population, July 1-Millions",100.546,
"Fluid milk: Total availability, million pounds",1916,"U.S. population, July 1-Millions",101.961,
"Fluid milk: Total availability, million pounds",1917,"U.S. population, July 1-Millions",103.268,
"Fluid milk: Total availability, million pounds",1918,"U.S. population, July 1-Millions",103.208,
"Fluid milk: Total availability, million pounds",1919,"U.S. population, July 1-Millions",104.514,
"Fluid milk: Total availability, million pounds",1920,"U.S. population, July 1-Millions",106.461,
"Fluid milk: Total availability, million pounds",1921,"U.S. population, July 1-Millions",108.538,
"Fluid milk: Total availability, million pounds",1922,"U.S. population, July 1-Millions",110.049,
"Fluid milk: Total availability, million pounds",1923,"U.S. population, July 1-Millions",111.947,
"Fluid milk: Total availability, million pounds",1924,"U.S. population, July 1-Millions",114.109,
"Fluid milk: Total availability, million pounds",1925,"U.S. population, July 1-Millions",115.829,
"Fluid milk: Total availability, million pounds",1926,"U.S. population, July 1-Millions",117.397,
"Fluid milk: Total availability, million pounds",1927,"U.S. population, July 1-Millions",119.035,
"Fluid milk: Total availability, million pounds",1928,"U.S. population, July 1-Millions",120.509,
"Fluid milk: Total availability, million pounds",1929,"U.S. population, July 1-Millions",121.767,
"Fluid milk: Total availability, million pounds",1930,"U.S. population, July 1-Millions",123.077,
"Fluid milk: Total availability, million pounds",1931,"U.S. population, July 1-Millions",124.04,
"Fluid milk: Total availability, million pounds",1932,"U.S. population, July 1-Millions",124.84,
"Fluid milk: Total availability, million pounds",1933,"U.S. population, July 1-Millions",125.579,
"Fluid milk: Total availability, million pounds",1934,"U.S. population, July 1-Millions",126.374,
"Fluid milk: Total availability, million pounds",1935,"U.S. population, July 1-Millions",127.25,
"Fluid milk: Total availability, million pounds",1936,"U.S. population, July 1-Millions",128.053,
"Fluid milk: Total availability, million pounds",1937,"U.S. population, July 1-Millions",128.825,
"Fluid milk: Total availability, million pounds",1938,"U.S. population, July 1-Millions",129.825,
"Fluid milk: Total availability, million pounds",1939,"U.S. population, July 1-Millions",130.88,
"Fluid milk: Total availability, million pounds",1940,"U.S. population, July 1-Millions",131.954,
"Fluid milk: Total availability, million pounds",1941,"U.S. population, July 1-Millions",133.121,
"Fluid milk: Total availability, million pounds",1942,"U.S. population, July 1-Millions",133.92,
"Fluid milk: Total availability, million pounds",1943,"U.S. population, July 1-Millions",134.245,
"Fluid milk: Total availability, million pounds",1944,"U.S. population, July 1-Millions",132.885,
"Fluid milk: Total availability, million pounds",1945,"U.S. population, July 1-Millions",132.481,
"Fluid milk: Total availability, million pounds",1946,"U.S. population, July 1-Millions",140.054,
"Fluid milk: Total availability, million pounds",1947,"U.S. population, July 1-Millions",143.446,
"Fluid milk: Total availability, million pounds",1948,"U.S. population, July 1-Millions",146.093,
"Fluid milk: Total availability, million pounds",1949,"U.S. population, July 1-Millions",148.665,
"Fluid milk: Total availability, million pounds",1950,"U.S. population, July 1-Millions",151.235,
"Fluid milk: Total availability, million pounds",1951,"U.S. population, July 1-Millions",153.31,
"Fluid milk: Total availability, million pounds",1952,"U.S. population, July 1-Millions",155.687,
"Fluid milk: Total availability, million pounds",1953,"U.S. population, July 1-Millions",158.242,
"Fluid milk: Total availability, million pounds",1954,"U.S. population, July 1-Millions",161.164,
"Fluid milk: Total availability, million pounds",1955,"U.S. population, July 1-Millions",164.308,
"Fluid milk: Total availability, million pounds",1956,"U.S. population, July 1-Millions",167.306,
"Fluid milk: Total availability, million pounds",1957,"U.S. population, July 1-Millions",170.371,
"Fluid milk: Total availability, million pounds",1958,"U.S. population, July 1-Millions",173.32,
"Fluid milk: Total availability, million pounds",1959,"U.S. population, July 1-Millions",176.289,
"Fluid milk: Total availability, million pounds",1960,"U.S. population, July 1-Millions",179.979,
"Fluid milk: Total availability, million pounds",1961,"U.S. population, July 1-Millions",182.992,
"Fluid milk: Total availability, million pounds",1962,"U.S. population, July 1-Millions",185.771,
"Fluid milk: Total availability, million pounds",1963,"U.S. population, July 1-Millions",188.483,
"Fluid milk: Total availability, million pounds",1964,"U.S. population, July 1-Millions",191.141,
"Fluid milk: Total availability, million pounds",1965,"U.S. population, July 1-Millions",193.526,
"Fluid milk: Total availability, million pounds",1966,"U.S. population, July 1-Millions",195.576,
"Fluid milk: Total availability, million pounds",1967,"U.S. population, July 1-Millions",197.457,
