Commodity,Year,Attribute,Value,Notes
All dairy products (milk-fat milk-equivalent basis): Supply and use,1909,"U.S. population, July 1-Millions",90.49,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1910,"U.S. population, July 1-Millions",92.407,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1911,"U.S. population, July 1-Millions",93.863,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1912,"U.S. population, July 1-Millions",95.335,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1913,"U.S. population, July 1-Millions",97.225,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1914,"U.S. population, July 1-Millions",99.111,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1915,"U.S. population, July 1-Millions",100.546,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1916,"U.S. population, July 1-Millions",101.961,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1917,"U.S. population, July 1-Millions",103.414,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1918,"U.S. population, July 1-Millions",104.55,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1919,"U.S. population, July 1-Millions",105.063,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1920,"U.S. population, July 1-Millions",106.461,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1921,"U.S. population, July 1-Millions",108.538,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1922,"U.S. population, July 1-Millions",110.049,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1923,"U.S. population, July 1-Millions",111.947,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1924,"U.S. population, July 1-Millions",114.109,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1925,"U.S. population, July 1-Millions",115.829,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1926,"U.S. population, July 1-Millions",117.397,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1927,"U.S. population, July 1-Millions",119.035,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1928,"U.S. population, July 1-Millions",120.509,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1929,"U.S. population, July 1-Millions",121.767,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1930,"U.S. population, July 1-Millions",123.188,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1931,"U.S. population, July 1-Millions",124.149,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1932,"U.S. population, July 1-Millions",124.949,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1933,"U.S. population, July 1-Millions",125.69,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1934,"U.S. population, July 1-Millions",126.485,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1935,"U.S. population, July 1-Millions",127.362,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1936,"U.S. population, July 1-Millions",128.181,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1937,"U.S. population, July 1-Millions",128.961,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1938,"U.S. population, July 1-Millions",129.969,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1939,"U.S. population, July 1-Millions",131.028,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1940,"U.S. population, July 1-Millions",132.122,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1941,"U.S. population, July 1-Millions",133.402,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1942,"U.S. population, July 1-Millions",134.86,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1943,"U.S. population, July 1-Millions",136.739,
All dairy products (milk-fat milk-equivalent basis): Supply and use,1944,"U.S. population, July 1-Millions",138.397,
