Commodity,Year,Attribute,Value,Notes
Eggs: Per capita availability,1909,"U.S. population, July 1-Millions",90.49,
Eggs: Per capita availability,1910,"U.S. population, July 1-Millions",92.407,
Eggs: Per capita availability,1911,"U.S. population, July 1-Millions",93.863,
Eggs: Per capita availability,1912,"U.S. population, July 1-Millions",95.335,
Eggs: Per capita availability,1913,"U.S. population, July 1-Millions",97.225,
Eggs: Per capita availability,1914,"U.S. population, July 1-Millions",99.111,
Eggs: Per capita availability,1915,"U.S. population, July 1-Millions",100.546,
Eggs: Per capita availability,1916,"U.S. population, July 1-Millions",101.961,
Eggs: Per capita availability,1917,"U.S. population, July 1-Millions",103.414,
Eggs: Per capita availability,1918,"U.S. population, July 1-Millions",104.55,
Eggs: Per capita availability,1919,"U.S. population, July 1-Millions",105.063,
Eggs: Per capita availability,1920,"U.S. population, July 1-Millions",106.461,
Eggs: Per capita availability,1921,"U.S. population, July 1-Millions",108.538,
Eggs: Per capita availability,1922,"U.S. population, July 1-Millions",110.049,
Eggs: Per capita availability,1923,"U.S. population, July 1-Millions",111.947,
Eggs: Per capita availability,1924,"U.S. population, July 1-Millions",114.109,
Eggs: Per capita availability,1925,"U.S. population, July 1-Millions",115.829,
Eggs: Per capita availability,1926,"U.S. population, July 1-Millions",117.397,
Eggs: Per capita availability,1927,"U.S. population, July 1-Millions",119.035,
Eggs: Per capita availability,1928,"U.S. population, July 1-Millions",120.509,
Eggs: Per capita availability,1929,"U.S. population, July 1-Millions",121.767,
Eggs: Per capita availability,1930,"U.S. population, July 1-Millions",123.188,
Eggs: Per capita availability,1931,"U.S. population, July 1-Millions",124.149,
Eggs: Per capita availability,1932,"U.S. population, July 1-Millions",124.949,
Eggs: Per capita availability,1933,"U.S. population, July 1-Millions",125.69,
Eggs: Per capita availability,1934,"U.S. population, July 1-Millions",126.485,
Eggs: Per capita availability,1935,"U.S. population, July 1-Millions",127.362,
Eggs: Per capita availability,1936,"U.S. population, July 1-Millions",128.181,
Eggs: Per capita availability,1937,"U.S. population, July 1-Millions",128.961,
Eggs: Per capita availability,1938,"U.S. population, July 1-Millions",129.969,
Eggs: Per capita availability,1939,"U.S. population, July 1-Millions",131.028,
Eggs: Per capita availability,1940,"U.S. population, July 1-Millions",132.122,
Eggs: Per capita availability,1941,"U.S. population, July 1-Millions",133.402,
Eggs: Per capita availability,1942,"U.S. population, July 1-Millions",134.86,
Eggs: Per capita availability,1943,"U.S. population, July 1-Millions",136.739,
Eggs: Per capita availability,1944,"U.S. population, July 1-Millions",138.397,
Eggs: Per capita availability,1945,"U.S. population, July 1-Millions",139.928,
Eggs: Per capita availability,1946,"U.S. population, July 1-Millions",141.389,
Eggs: Per capita availability,1947,"U.S. population, July 1-Millions",144.126,
Eggs: Per capita availability,1948,"U.S. population, July 1-Millions",146.631,
Eggs: Per capita availability,1949,"U.S. population, July 1-Millions",149.188,
Eggs: Per capita availability,1950,"U.S. population, July 1-Millions",151.684,
Eggs: Per capita availability,1951,"U.S. population, July 1-Millions",154.287,
Eggs: Per capita availability,1952,"U.S. population, July 1-Millions",156.954,
Eggs: Per capita availability,1953,"U.S. population, July 1-Millions",159.565,
Eggs: Per capita availability,1954,"U.S. population, July 1-Millions",162.391,
Eggs: Per capita availability,1955,"U.S. population, July 1-Millions",165.275,
Eggs: Per capita availability,1956,"U.S. population, July 1-Millions",168.221,
