Added fats and oils (product weight): Per capita food availability,,,,,,,,Filename: FATS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,"U.S. total population, July 11",Butter7,Margarine7,Lard2,Edible tallow2,Shortening,Salad and cooking oils3 4,Other edible fats and oils5,Total6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,--- Millions ---,--------------------------------------------------------------------------- Pounds ------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,90.490,17.9,1.2,6.9,NA,8.0,NA,1.5,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,92.407,18.4,1.6,8.2,NA,8.0,NA,1.5,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,93.863,18.7,1.1,5.6,NA,8.0,NA,1.5,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,95.335,16.6,1.5,11.2,NA,8.3,NA,1.2,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,97.225,16.5,1.5,10.7,NA,9.5,NA,1.9,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,99.111,17.0,1.4,10.6,NA,10.8,NA,3.8,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,100.546,17.2,1.4,11.5,NA,10.0,NA,3.1,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,101.961,17.3,1.8,11.6,NA,9.5,NA,2.0,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,103.414,15.8,2.7,10.0,NA,10.8,NA,0.9,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,104.550,14.2,3.3,11.9,NA,10.5,NA,3.7,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,105.063,15.3,3.4,10.7,NA,11.7,NA,2.4,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,106.461,14.9,3.4,12.0,NA,7.6,NA,1.8,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,108.538,16.3,2.0,10.8,NA,7.0,NA,3.5,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,110.049,17.1,1.7,13.3,NA,6.7,NA,4.4,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,111.947,17.9,2.0,14.3,NA,6.6,NA,3.9,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,114.109,17.9,2.0,14.2,NA,7.0,NA,4.3,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,115.829,18.1,2.0,12.3,NA,9.7,NA,4.8,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,117.397,18.3,2.0,12.2,NA,9.5,NA,5.6,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,119.035,18.3,2.3,12.7,NA,9.7,NA,4.9,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,120.509,17.6,2.6,13.2,NA,9.3,NA,5.0,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
