Commodity,Year,Attribute,Value,Notes
Fruit: Per capita availability (fresh weight equivalent),1970,Total-Pounds,238.0011087,
Fruit: Per capita availability (fresh weight equivalent),1971,Total-Pounds,242.4001636,
Fruit: Per capita availability (fresh weight equivalent),1972,Total-Pounds,232.0475694,
Fruit: Per capita availability (fresh weight equivalent),1973,Total-Pounds,236.0057913,
Fruit: Per capita availability (fresh weight equivalent),1974,Total-Pounds,235.8313095,
Fruit: Per capita availability (fresh weight equivalent),1975,Total-Pounds,252.4756916,
Fruit: Per capita availability (fresh weight equivalent),1976,Total-Pounds,258.0742382,
Fruit: Per capita availability (fresh weight equivalent),1977,Total-Pounds,268.9497503,
Fruit: Per capita availability (fresh weight equivalent),1978,Total-Pounds,260.2635081,
Fruit: Per capita availability (fresh weight equivalent),1979,Total-Pounds,251.229779,
Fruit: Per capita availability (fresh weight equivalent),1980,Total-Pounds,266.0296075,
Fruit: Per capita availability (fresh weight equivalent),1981,Total-Pounds,262.0870971,
Fruit: Per capita availability (fresh weight equivalent),1982,Total-Pounds,263.816896,
Fruit: Per capita availability (fresh weight equivalent),1983,Total-Pounds,280.4166058,
Fruit: Per capita availability (fresh weight equivalent),1984,Total-Pounds,267.2859912,
Fruit: Per capita availability (fresh weight equivalent),1985,Total-Pounds,270.8820952,
Fruit: Per capita availability (fresh weight equivalent),1986,Total-Pounds,279.3077788,
Fruit: Per capita availability (fresh weight equivalent),1987,Total-Pounds,276.9130596,
Fruit: Per capita availability (fresh weight equivalent),1988,Total-Pounds,267.2999004,
Fruit: Per capita availability (fresh weight equivalent),1989,Total-Pounds,274.3193535,
Fruit: Per capita availability (fresh weight equivalent),1990,Total-Pounds,270.9627141,
Fruit: Per capita availability (fresh weight equivalent),1991,Total-Pounds,268.8199214,
Fruit: Per capita availability (fresh weight equivalent),1992,Total-Pounds,269.8118348,
Fruit: Per capita availability (fresh weight equivalent),1993,Total-Pounds,283.3245506,
Fruit: Per capita availability (fresh weight equivalent),1994,Total-Pounds,287.9564885,
Fruit: Per capita availability (fresh weight equivalent),1995,Total-Pounds,274.9834829,
Fruit: Per capita availability (fresh weight equivalent),1996,Total-Pounds,286.5070041,
Fruit: Per capita availability (fresh weight equivalent),1997,Total-Pounds,286.6739268,
Fruit: Per capita availability (fresh weight equivalent),1998,Total-Pounds,299.9718725,
Fruit: Per capita availability (fresh weight equivalent),1999,Total-Pounds,284.9173663,
Fruit: Per capita availability (fresh weight equivalent),2000,Total-Pounds,288.1555278,
Fruit: Per capita availability (fresh weight equivalent),2001,Total-Pounds,281.1645255,
Fruit: Per capita availability (fresh weight equivalent),2002,Total-Pounds,275.9158224,
Fruit: Per capita availability (fresh weight equivalent),2003,Total-Pounds,280.1790439,
Fruit: Per capita availability (fresh weight equivalent),2004,Total-Pounds,279.3543353,
Fruit: Per capita availability (fresh weight equivalent),2005,Total-Pounds,270.7941861,
Fruit: Per capita availability (fresh weight equivalent),2006,Total-Pounds,269.5868205,
Fruit: Per capita availability (fresh weight equivalent),2007,Total-Pounds,262.4419683,
Fruit: Per capita availability (fresh weight equivalent),2008,Total-Pounds,257.3861364,
Fruit: Per capita availability (fresh weight equivalent),2009,Total-Pounds,254.3227301,
Fruit: Per capita availability (fresh weight equivalent),2010,Total-Pounds,255.8743204,
Fruit: Per capita availability (fresh weight equivalent),2011,Total-Pounds,254.4356753,
