Commodity,Year,Attribute,Value,Notes
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Fruit-Fresh-Pounds ,100.6030192,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Fruit-Processing-Canning-Pounds ,26.19103939,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Fruit-Processing-Freezing-Pounds ,3.876882449,"Includes apples, apricots, blackberries, blueberries, boysenberries, cherries, loganberries, peaches, plums, prunes, raspberries, strawberries, and other miscellaneous fruit and berries."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Fruit-Processing-Dried-Pounds ,9.954873608,"Includes apples, apricots, dates, figs, peaches, pears, prunes, and raisins."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Fruit-Processing-Juice-Pounds ,96.72143023,"Includes apple, cranberry, grape, grapefruit, lemon, lime, orange, pineapple, and prune juice."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Fruit-Processing-Other process-Pounds ,0.653863753,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Fruit-Processing-Total processed fruit-Pounds ,137.3980894,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Fruit-Total fruit-Pounds ,238.0011087,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Vegetables-Fresh-Pounds ,154.3537225,"Includes artichokes, asparagus, snap beans, broccoli, cabbage, carrots, cauliflower, celery, sweet corn, cucumbers, eggplant, endive, escarole, garlic, head, romaine, and leaf lettuce, mushrooms, okra, onions, bell peppers, potatoes, radishes, spinach, sweet potatoes, and tomatoes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Vegetables-Processing-Canning-Pounds ,100.6971508,"Includes asparagus, lima beans, snap beans, beets, cabbage, carrots, sweet corn, cucumbers, mushrooms, green peas, chile peppers, potatoes, spinach, tomatoes, and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Vegetables-Processing-Freezing-Pounds ,43.70195645,"Includes asparagus, lima beans, snap beans, broccoli, carrots, cauliflower, sweet corn, green peas, potatoes, spinach and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Vegetables-Processing-Dried-Pounds ,13.16516435,Includes potatoes and onions.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Vegetables-Processing-Potatoes for chips-Pounds ,17.39071065,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Vegetables-Processing-Legumes-Pounds ,6.956327794,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Vegetables-Processing-Total processed vegetables-Pounds ,181.91131,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Vegetables-Total vegetables-Pounds ,336.2650325,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Total fruit and vegetables-Pounds ,574.2661411,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Fruit-Fresh-Pounds ,100.8254418,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Fruit-Processing-Canning-Pounds ,26.54621269,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Fruit-Processing-Freezing-Pounds ,3.974949557,"Includes apples, apricots, blackberries, blueberries, boysenberries, cherries, loganberries, peaches, plums, prunes, raspberries, strawberries, and other miscellaneous fruit and berries."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Fruit-Processing-Dried-Pounds ,9.959163413,"Includes apples, apricots, dates, figs, peaches, pears, prunes, and raisins."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Fruit-Processing-Juice-Pounds ,100.4570031,"Includes apple, cranberry, grape, grapefruit, lemon, lime, orange, pineapple, and prune juice."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Fruit-Processing-Other process-Pounds ,0.637393082,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Fruit-Processing-Total processed fruit-Pounds ,141.5747218,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Fruit-Total fruit-Pounds ,242.4001636,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Vegetables-Fresh-Pounds ,148.0504058,"Includes artichokes, asparagus, snap beans, broccoli, cabbage, carrots, cauliflower, celery, sweet corn, cucumbers, eggplant, endive, escarole, garlic, head, romaine, and leaf lettuce, mushrooms, okra, onions, bell peppers, potatoes, radishes, spinach, sweet potatoes, and tomatoes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Vegetables-Processing-Canning-Pounds ,107.7993472,"Includes asparagus, lima beans, snap beans, beets, cabbage, carrots, sweet corn, cucumbers, mushrooms, green peas, chile peppers, potatoes, spinach, tomatoes, and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Vegetables-Processing-Freezing-Pounds ,45.32131944,"Includes asparagus, lima beans, snap beans, broccoli, carrots, cauliflower, sweet corn, green peas, potatoes, spinach and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Vegetables-Processing-Dried-Pounds ,13.81033901,Includes potatoes and onions.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Vegetables-Processing-Potatoes for chips-Pounds ,17.15223369,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Vegetables-Processing-Legumes-Pounds ,7.412198162,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Vegetables-Processing-Total processed vegetables-Pounds ,191.4954375,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Vegetables-Total vegetables-Pounds ,339.5458433,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Total fruit and vegetables-Pounds ,581.9460068,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Fruit-Fresh-Pounds ,94.35470517,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Fruit-Processing-Canning-Pounds ,24.16588977,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Fruit-Processing-Freezing-Pounds ,3.959544727,"Includes apples, apricots, blackberries, blueberries, boysenberries, cherries, loganberries, peaches, plums, prunes, raspberries, strawberries, and other miscellaneous fruit and berries."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Fruit-Processing-Dried-Pounds ,7.237776847,"Includes apples, apricots, dates, figs, peaches, pears, prunes, and raisins."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Fruit-Processing-Juice-Pounds ,101.678198,"Includes apple, cranberry, grape, grapefruit, lemon, lime, orange, pineapple, and prune juice."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Fruit-Processing-Other process-Pounds ,0.651454884,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Fruit-Processing-Total processed fruit-Pounds ,137.6928642,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Fruit-Total fruit-Pounds ,232.0475694,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Vegetables-Fresh-Pounds ,151.4075722,"Includes artichokes, asparagus, snap beans, broccoli, cabbage, carrots, cauliflower, celery, sweet corn, cucumbers, eggplant, endive, escarole, garlic, head, romaine, and leaf lettuce, mushrooms, okra, onions, bell peppers, potatoes, radishes, spinach, sweet potatoes, and tomatoes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Vegetables-Processing-Canning-Pounds ,104.5577034,"Includes asparagus, lima beans, snap beans, beets, cabbage, carrots, sweet corn, cucumbers, mushrooms, green peas, chile peppers, potatoes, spinach, tomatoes, and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Vegetables-Processing-Freezing-Pounds ,45.26530363,"Includes asparagus, lima beans, snap beans, broccoli, carrots, cauliflower, sweet corn, green peas, potatoes, spinach and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Vegetables-Processing-Dried-Pounds ,13.31420465,Includes potatoes and onions.
