Commodity,Year,Attribute,Value,Notes
Flour and cereal products: Per capita availability,1967,Wheat flour-White and whole wheat flour-Pounds,106.6749638,
Flour and cereal products: Per capita availability,1968,Wheat flour-White and whole wheat flour-Pounds,106.5510025,
Flour and cereal products: Per capita availability,1969,Wheat flour-White and whole wheat flour-Pounds,106.0501815,
Flour and cereal products: Per capita availability,1970,Wheat flour-White and whole wheat flour-Pounds,103.9547996,
Flour and cereal products: Per capita availability,1971,Wheat flour-White and whole wheat flour-Pounds,103.6765711,
Flour and cereal products: Per capita availability,1972,Wheat flour-White and whole wheat flour-Pounds,102.7321297,
Flour and cereal products: Per capita availability,1973,Wheat flour-White and whole wheat flour-Pounds,105.0050996,
Flour and cereal products: Per capita availability,1974,Wheat flour-White and whole wheat flour-Pounds,104.1295085,
Flour and cereal products: Per capita availability,1975,Wheat flour-White and whole wheat flour-Pounds,107.6637723,
Flour and cereal products: Per capita availability,1976,Wheat flour-White and whole wheat flour-Pounds,111.9232294,
Flour and cereal products: Per capita availability,1977,Wheat flour-White and whole wheat flour-Pounds,107.938356,
Flour and cereal products: Per capita availability,1978,Wheat flour-White and whole wheat flour-Pounds,108.5185924,
Flour and cereal products: Per capita availability,1979,Wheat flour-White and whole wheat flour-Pounds,109.0278633,
Flour and cereal products: Per capita availability,1980,Wheat flour-White and whole wheat flour-Pounds,110.2628088,
Flour and cereal products: Per capita availability,1981,Wheat flour-White and whole wheat flour-Pounds,109.732058,
Flour and cereal products: Per capita availability,1982,Wheat flour-White and whole wheat flour-Pounds,110.7397799,
Flour and cereal products: Per capita availability,1983,Wheat flour-White and whole wheat flour-Pounds,111.2582044,
Flour and cereal products: Per capita availability,1984,Wheat flour-White and whole wheat flour-Pounds,111.9890951,
Flour and cereal products: Per capita availability,1985,Wheat flour-White and whole wheat flour-Pounds,116.4861864,
Flour and cereal products: Per capita availability,1986,Wheat flour-White and whole wheat flour-Pounds,116.6939792,
Flour and cereal products: Per capita availability,1987,Wheat flour-White and whole wheat flour-Pounds,119.19743,
Flour and cereal products: Per capita availability,1988,Wheat flour-White and whole wheat flour-Pounds,122.4402918,
Flour and cereal products: Per capita availability,1989,Wheat flour-White and whole wheat flour-Pounds,119.8218514,
Flour and cereal products: Per capita availability,1990,Wheat flour-White and whole wheat flour-Pounds,124.1908646,
Flour and cereal products: Per capita availability,1991,Wheat flour-White and whole wheat flour-Pounds,124.6923476,
Flour and cereal products: Per capita availability,1992,Wheat flour-White and whole wheat flour-Pounds,124.717571,
Flour and cereal products: Per capita availability,1993,Wheat flour-White and whole wheat flour-Pounds,128.5770863,
Flour and cereal products: Per capita availability,1994,Wheat flour-White and whole wheat flour-Pounds,129.1641957,
Flour and cereal products: Per capita availability,1995,Wheat flour-White and whole wheat flour-Pounds,126.9101819,
