Commodity,Year,Attribute,Value,Notes
Red meat and poultry (carcass weight): Per capita availability,1909,"U.S. population, July 1-Millions",90.49,
Red meat and poultry (carcass weight): Per capita availability,1910,"U.S. population, July 1-Millions",92.407,
Red meat and poultry (carcass weight): Per capita availability,1911,"U.S. population, July 1-Millions",93.863,
Red meat and poultry (carcass weight): Per capita availability,1912,"U.S. population, July 1-Millions",95.335,
Red meat and poultry (carcass weight): Per capita availability,1913,"U.S. population, July 1-Millions",97.225,
Red meat and poultry (carcass weight): Per capita availability,1914,"U.S. population, July 1-Millions",99.111,
Red meat and poultry (carcass weight): Per capita availability,1915,"U.S. population, July 1-Millions",100.546,
Red meat and poultry (carcass weight): Per capita availability,1916,"U.S. population, July 1-Millions",101.961,
Red meat and poultry (carcass weight): Per capita availability,1917,"U.S. population, July 1-Millions",103.414,
Red meat and poultry (carcass weight): Per capita availability,1918,"U.S. population, July 1-Millions",104.55,
Red meat and poultry (carcass weight): Per capita availability,1919,"U.S. population, July 1-Millions",105.063,
Red meat and poultry (carcass weight): Per capita availability,1920,"U.S. population, July 1-Millions",106.461,
Red meat and poultry (carcass weight): Per capita availability,1921,"U.S. population, July 1-Millions",108.538,
Red meat and poultry (carcass weight): Per capita availability,1922,"U.S. population, July 1-Millions",110.049,
Red meat and poultry (carcass weight): Per capita availability,1923,"U.S. population, July 1-Millions",111.947,
Red meat and poultry (carcass weight): Per capita availability,1924,"U.S. population, July 1-Millions",114.109,
Red meat and poultry (carcass weight): Per capita availability,1925,"U.S. population, July 1-Millions",115.829,
Red meat and poultry (carcass weight): Per capita availability,1926,"U.S. population, July 1-Millions",117.397,
Red meat and poultry (carcass weight): Per capita availability,1927,"U.S. population, July 1-Millions",119.035,
Red meat and poultry (carcass weight): Per capita availability,1928,"U.S. population, July 1-Millions",120.509,
Red meat and poultry (carcass weight): Per capita availability,1929,"U.S. population, July 1-Millions",121.767,
Red meat and poultry (carcass weight): Per capita availability,1930,"U.S. population, July 1-Millions",123.188,
Red meat and poultry (carcass weight): Per capita availability,1931,"U.S. population, July 1-Millions",124.149,
Red meat and poultry (carcass weight): Per capita availability,1932,"U.S. population, July 1-Millions",124.949,
Red meat and poultry (carcass weight): Per capita availability,1933,"U.S. population, July 1-Millions",125.69,
