Commodity,Year,Attribute,Value,Notes
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1967,"U.S. population, January 1 of following year-Millions",197.736,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1968,"U.S. population, January 1 of following year-Millions",199.808,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1969,"U.S. population, January 1 of following year-Millions",201.76,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1970,"U.S. population, January 1 of following year-Millions",203.849,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1971,"U.S. population, January 1 of following year-Millions",206.466,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1972,"U.S. population, January 1 of following year-Millions",208.917,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1973,"U.S. population, January 1 of following year-Millions",210.985,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1974,"U.S. population, January 1 of following year-Millions",212.932,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1975,"U.S. population, January 1 of following year-Millions",214.931,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1976,"U.S. population, January 1 of following year-Millions",217.095,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1977,"U.S. population, January 1 of following year-Millions",219.179,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1978,"U.S. population, January 1 of following year-Millions",221.477,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1979,"U.S. population, January 1 of following year-Millions",223.865,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1980,"U.S. population, January 1 of following year-Millions",226.451,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1981,"U.S. population, January 1 of following year-Millions",228.937,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1982,"U.S. population, January 1 of following year-Millions",231.157,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1983,"U.S. population, January 1 of following year-Millions",233.322,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1984,"U.S. population, January 1 of following year-Millions",235.385,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1985,"U.S. population, January 1 of following year-Millions",237.468,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1986,"U.S. population, January 1 of following year-Millions",239.638,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1987,"U.S. population, January 1 of following year-Millions",241.784,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1988,"U.S. population, January 1 of following year-Millions",243.981,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1989,"U.S. population, January 1 of following year-Millions",246.224,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1990,"U.S. population, January 1 of following year-Millions",248.659,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1991,"U.S. population, January 1 of following year-Millions",251.889,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1992,"U.S. population, January 1 of following year-Millions",255.214,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1993,"U.S. population, January 1 of following year-Millions",258.679,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1994,"U.S. population, January 1 of following year-Millions",261.919,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1995,"U.S. population, January 1 of following year-Millions",265.044,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1996,"U.S. population, January 1 of following year-Millions",268.151,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1997,"U.S. population, January 1 of following year-Millions",271.36,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1998,"U.S. population, January 1 of following year-Millions",274.626,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",1999,"U.S. population, January 1 of following year-Millions",277.79,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2000,"U.S. population, January 1 of following year-Millions",280.976,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2001,"U.S. population, January 1 of following year-Millions",283.920402,Resident population plus the Armed Forces overseas.
"Peanuts: Per capita availability, by type of product - Farmers' stock basis",2002,"U.S. population, January 1 of following year-Millions",286.78756,Resident population plus the Armed Forces overseas.
